dataset,arm,seed,n_ck,ep_max,ep_star_nll,ep_best_marg,ep_best_disc,rho_gap[srlg_mean],rho_dcr[srlg_mean],argmin[srlg_mean],rho_gap[srlg_ks],rho_dcr[srlg_ks],argmin[srlg_ks],rho_gap[srlg_tail],rho_dcr[srlg_tail],argmin[srlg_tail]
churn2,default,0,13,60,5,60,55,0.6923076923076923,0.616231669626417,5,0.7747252747252747,0.662999251696279,15,0.7142857142857143,0.6079785669082061,1
churn2,default,1,13,60,5,60,55,0.7032967032967032,0.796146271686748,5,0.8296703296703297,0.862262225044817,10,0.6703296703296703,0.7575786322278744,1
churn2,default,2,13,60,5,60,55,0.6923076923076923,0.6831981847000467,10,0.7802197802197801,0.7548238008379548,10,0.7142857142857143,0.6611595335806904,1
wilt,default,0,13,60,10,55,45,0.7252747252747254,0.39010989010989006,1,0.6868131868131868,0.3681318681318681,10,0.3186813186813187,0.2747252747252747,5
wilt,default,1,13,60,10,50,50,0.7087912087912087,-0.1868131868131868,1,0.6758241758241759,-0.14285714285714285,10,0.4175824175824176,-0.18131868131868134,5
wilt,default,2,13,60,10,60,45,0.7087912087912087,0.7292928985449755,1,0.6868131868131868,0.7071931137405821,10,0.47802197802197804,0.6795683827350908,10
